Date,Adj Close,Close,High,Low,Open,Volume
01/01/2023,1200.96484375,1200.96484375,1203.475341796875,1192.8853759765625,1196.713623046875,2399674550
02/01/2023,1214.6566162109375,1214.6566162109375,1219.860595703125,1195.2149658203125,1201.103271484375,3765758498
03/01/2023,1214.77880859375,1214.77880859375,1219.0953369140625,1207.4915771484375,1214.7440185546875,3392972131
04/01/2023,1256.526611328125,1256.526611328125,1264.8074951171875,1213.1688232421875,1214.7186279296875,6404416893
05/01/2023,1250.4385986328125,1250.4385986328125,1258.571533203125,1245.173095703125,1256.484619140625,4001786456
06/01/2023,1269.3790283203125,1269.3790283203125,1273.2203369140625,1240.947509765625,1250.458984375,4977252792
07/01/2023,1264.2703857421875,1264.2703857421875,1270.5982666015625,1262.2711181640625,1269.4197998046875,2565213548
08/01/2023,1287.3594970703125,1287.3594970703125,1287.3594970703125,1260.226806640625,1264.181884765625,3495088905
09/01/2023,1321.5389404296875,1321.5389404296875,1342.1441650390625,1286.6807861328125,1287.4508056640625,7990438824
10/01/2023,1336.5860595703125,1336.5860595703125,1342.7572021484375,1318.5272216796875,1321.3955078125,5830173253
11/01/2023,1387.9327392578125,1387.9327392578125,1387.9327392578125,1323.5831298828125,1336.48681640625,6314904311
12/01/2023,1417.9384765625,1417.9384765625,1432.28125,1378.422119140625,1405.3514404296875,12230193038
13/01/2023,1451.6148681640625,1451.6148681640625,1461.6727294921875,1404.02392578125,1417.9461669921875,7684148212
14/01/2023,1550.7069091796875,1550.7069091796875,1563.7391357421875,1450.9884033203125,1451.428466796875,15444626014
15/01/2023,1552.4794921875,1552.4794921875,1556.9508056640625,1520.893798828125,1550.7315673828125,6774614499
16/01/2023,1576.83349609375,1576.83349609375,1594.039794921875,1529.5736083984375,1552.519287109375,8454485431
17/01/2023,1567.8460693359375,1567.8460693359375,1594.0009765625,1553.3359375,1577.107421875,7599462786
18/01/2023,1515.5069580078125,1515.5069580078125,1602.106689453125,1509.4228515625,1567.698974609375,10354880595
19/01/2023,1552.5565185546875,1552.5565185546875,1557.9703369140625,1514.3800048828125,1515.2496337890625,6432638856
20/01/2023,1659.754150390625,1659.754150390625,1659.8857421875,1544.9178466796875,1552.3736572265625,8528894754
